Contexto.Precedente,Ocorrencia,Contexto.Seguinte,faixa.etaria,sexo.genero,registro,amostra
Área … devido às empresas não,nós <N>,não temos empresas assim de,1,H,DID,II
onde fica Inf. a TBM,nós <N>,temos um parque industrial aqui,1,H,DID,II
o fio é simples mas existeminúmeros,nós <N>,temos aproximadamente uns cinquenta uns,1,H,DID,II
um Inf. aí malharia você,nós <N>,vendemos o cone do o,1,H,DID,II
processo de migração novo sistema aí,nós <N>,analisamoscontos a parte da tafa,1,H,DID,II
ó Inf. bem simples,nós <N>,produzimos fiosmas pra produzir fios a,1,H,DID,II
Doc. erto Inf. ntãoquando,nós <N>,compramos essa matéria primaem uma,1,H,DID,II
Doc. por semana Inf.aõ,nós <N>,compramos por lote Doc.,1,H,DID,II
tava com uma turma e agente,nós <N>,paramos na calçada pra conversar,1,H,DID,II
a gente vai fazer só que,nós <N>,não tínhamos percebido que nós,1,H,DID,II
nós <N> não tínhamos percebido que,nós <N>,tínhamos parado na calçada a,1,H,DID,II
na calçada a faixa pedestre e,nós <N>,conversando aqui quando nós <N>,1,H,DID,II
e nós <N> conversando aqui quando,nós <N>,olhamos tinha uma fila de,1,H,DID,II
Inf.a minha inFÂNcia ela fo( ),nós <N>,moRÁvamos com minha vó mas,1,M,DID,II
aí quando eu fui com ele,nós <N>,temos cinco anos de relacionamento,1,M,DID,II
seu ensino médio? Inf. pronto,nós <N>,SEMpre estudamos em escola particuLAR,1,M,DID,II
empreSÁria mas no momento ainda não...,nós <N>,não tem condições Doc.,1,M,DID,II
não vou morar com a... porque,nós <N>,não temos problemas com nenhuma,1,M,DID,II
passeio não é isso Inf.,nós <N>,estamos ( ) perto do,1,M,DID,II
outra irmã nasceu e no caso,nós <N>,crescemos juntas no caso o,1,H,DID,II
quando a minha terceira irmã nasceu nó,nós <N>,sempre fomos muito PRÓximas sempre,1,H,DID,II
nenhuma opção de melhora pra:: pra,nós <N>,que moramos aqui em fortaleza...o,1,H,DID,II
aquela frase “a mudança começa em,nós <N>,mas se alguns fizer e,1,H,DID,II
educação realmente ela vem de casaquando,nós <N>,somos instruídos... a ser assim,1,H,DID,II
eles viraram amigos minha mãe também,nós <N>,somos muito pró::ximas nos vemos,1,H,DID,II
as minhas irmãs no início quando,nós <N>,éramos menores nós <N> brigávamos,1,H,DID,II
início quando nós <N> éramos menores,nós <N>,brigávamos muito... coisa de crian::ça,1,H,DID,II
mas hoje em dia no caso,nós <N>,viramos melhores amigas... no caso,1,H,DID,II
eu quero muito comprar um carro,nós <N>,queremos muito comprar um carroestamos,1,H,DID,II
organizando pra isso ) mas se,nós <N>,ganhássemos um de presente seria,1,H,DID,II
ter eu e mais oito irMÃOS,nós <N>,tínhamos bastante liberDADE certo e:...,3,H,DID,II
